x,y,z,particle id
0.0,0.0,0.0,1
6.814826447762073,0.9334116605413956,15.000000000000002,1
11.358044079603454,1.555686100902326,25.0,1
21.997180214653625,-3.7626192435354775,35.0,2
41.93207248215209,-15.614942455093837,50.0,2
68.51192883881669,-31.418040070504983,70.0,2
108.38171337381361,-55.12268649362171,100.00000000000003,2
10.739429490796798,7.208256816773389,35.0,3
6.444596508287669,18.968226967676415,50.0,3
0.7181525316088297,34.648187168880455,70.0,3
-7.871513433409431,58.16812747068652,100.0,3
